city,locality,locality_market_rate
Mumbai,Dahisar West,56.5
Mumbai,Danda,36.0
Mumbai,Dattapada,85.5
Mumbai,Deonar,100.0
Mumbai,Deonar Chembur,107.0
Mumbai,Deonar Farm Road,82.0
Mumbai,Deonar Village Road,55.0
Mumbai,Devidas Road,87.0
Mumbai,Devipada,83.5
Mumbai,Dindoshi - Malad East,66.5
Mumbai,Eden Gardens,18.0
Mumbai,Eksar Road,57.0
Mumbai,Ekta Nagar Kandivali West,79.0
Mumbai,Evershine Millennium Paradise,80.0
Mumbai,Evershine Nagar,88.0
Mumbai,Film City Road,72.0
Mumbai,Fish Market Area,45.0
Mumbai,Fort,125.0
Mumbai,Four Bungalows,92.0
Mumbai,GTB Nagar,14.0
Mumbai,Gaikwad Nagar Malad West,58.0
Mumbai,Gandhi Nagar Bandra East,136.0
Mumbai,Gandhi Nagar Upper Worli,140.5
Mumbai,Ganesh Nagar Kalaram Nagar,43.0
Mumbai,Garodia Nagar,70.0
Mumbai,Gavane Pada,104.0
Mumbai,Gavanpada,63.0
Mumbai,Geeta Nagar Mira Road East,26.0
Mumbai,Ghatkopar,48.5
Mumbai,Ghatkopar East,79.0
Mumbai,Ghatkopar West,92.0
Mumbai,Ghodapdeo,76.0
Mumbai,Ghodbunder Road,32.0
Mumbai,Gilbert Hill,11.0
Mumbai,Girgaon,107.0
Mumbai,Godrej Colony,158.0
Mumbai,Gokuldham,108.0
Mumbai,Gorai,30.0
Mumbai,Gorai 1,33.0
Mumbai,Gorai 2,52.0
Mumbai,Goregaon,72.0
Mumbai,Goregaon East,78.0
Mumbai,Goregaon Mulund Link Road,72.0
Mumbai,Goregaon West,94.0
Mumbai,Govandi,50.0
Mumbai,Govind Nagar Bhandup West,69.0
Mumbai,Govind Nagar Borivali West,74.0
Mumbai,Gowalia Tank,179.0
Mumbai,Grant Road East,102.0
Mumbai,Green Hills,94.0
Mumbai,Gulshan Nagar,88.0
Mumbai,Hatkesh Udhog Nagar,28.0
